category,vendor
entertainment,Berliner Verkehrsbetrieben
entertainment,Groupe Altitude
entertainment,Keukenhof
entertainment,Music Festivals
entertainment,Smithwick S Experience
gifts,We Love Holland
groceries,Eroski
health,Pharmacie Lafayette Principale
pubs,Beckett & Wilde
pubs,Bloody Stream
pubs,Jack Nealons
pubs,O'Donoghues
rent,Orlisa Gestion
restaurants,Back to Black
restaurants,Beets & Roots
restaurants,Bertiz Panaderías
restaurants,Casita Mexicana
restaurants,Chop Chop Chinese
restaurants,Chop Chop Order
restaurants,Colloi Simone
restaurants,Corfu Greek Retsaurant
restaurants,Danny Mac's
restaurants,Kalbos
restaurants,Kavallis Georgios
restaurants,Le Quai Steffen
restaurants,Les Mauvais Garc
restaurants,MunchDiddly's
restaurants,Pret
restaurants,Spc Stadtwirtschaft Freib
restaurants,Supermac's
restaurants,The Greedy Goose
restaurants,The Westbury
restaurants,Tst Di Luca
restaurants,grubhub.com
services,Ags Web
services,Everyday App
services,Sabhan Callshop
services,Square
services,Victoria's Secret
shopping,Eason
shopping,Globale /lulus
shopping,Intersport Elverys
shopping,Natura Croatica
shopping,Quiksilver
shopping,Veneto Gbr
transfers,To pocket EUR Giving from EUR
transport,Comboios de Portugal
transport,Parkhaus Am Dom
travel,Lyft
travel,Maxol
travel,Paros
travel,oceanservicedapts
utilities,Virgin Media Ireland Limited
donation,City Church
entertainment,Epic Ireland Exhibitions
entertainment,The Dean
entertainment,Try Tag Rugby
groceries,Drinagh Skibbereen
groceries,Gino S Fruechtewelt
pubs,John M Reidy
pubs,Johnny Rush
pubs,Mcganns Doolin
restaurants,Augustiner-Keller
restaurants,Aut O Tacos
restaurants,Bakeology
restaurants,CAMONDAS
restaurants,De Vondeltuin
restaurants,Jamaica Blue
restaurants,Les Parigots
restaurants,Marrakesh
restaurants,Nuno Cardoso
restaurants,Phoenix Park Tea Rooms
restaurants,Rest A Severa
restaurants,Starbucks
restaurants,Witty's
services,Declan Doherty
services,Nancy Dewingaerden
services,Phoenix Labs
services,Retail inMotion
services,Sp F8bcfb 22 2
services,Star Blue
services,Tipperary County Council
services,Trevor Hurley
shopping,Chocolate House
shopping,Dingle Distillery
shopping,LX Fábricas
shopping,MERCI
shopping,Runlogic
shopping,eBay
transport,Edinburgh Trams
transport,Krka parking Skradin
transport,RATP
travel,Agip
utilities,MOL
utilities,Shell
donation,Autism Pathways 01
entertainment,Cliffs of Moher
entertainment,Irish Tag Rugby Association
entertainment,Kinfire
entertainment,Match Programmes
entertainment,Mizen Tourism Co-operative Society Ltd
entertainment,München Ticket
entertainment,Netflix
entertainment,Raymond Gubbay
entertainment,The Button Factory
general,Closing transaction
gifts,Gifts from Galway
groceries,Nutty Delights
groceries,Selecta
groceries,Super Marche Payot Pertin
groceries,Thiraika Market
health,Farmácia Frazão
pubs,An Púcán
pubs,Ryans
pubs,Story Teller
pubs,The Jar
pubs,Whelan's
restaurants,Adega Das Caves
restaurants,Anaplioti Kalliopi
restaurants,BaxterStorey
restaurants,Chickn Lickn
restaurants,De Prins
restaurants,Dos Burritos
restaurants,Farmer Browns
restaurants,Grindstone
restaurants,House Of Sweets
restaurants,Kool Scoops of Dingle
restaurants,McGuinness
restaurants,Rifugio Capanna Tondi Famiglia Verzi
restaurants,Saltee Chipper
restaurants,Sprout & Co
restaurants,The Strand House
services,Sp Manchester
shopping,Butlers Chocolates
shopping,Etsy
shopping,Leinster Fanshop
shopping,Lovely Castelo
shopping,Lss Grafton Street
shopping,Secureshop
shopping,Shaws Department Stores
transport,Db Automat Berlin Suedkre
transport,Kerry co council Parking
transport,Transport for Ireland
transport,UTS Parking and Transportation
entertainment,Aviva Stadium
entertainment,Eb Dublin Winter Ligh
entertainment,Faloria
entertainment,Grandvalira Funicamp
entertainment,Pal Arinsal
entertainment,Steam
entertainment,musement
gifts,Seaglass Magic
groceries,ALDI
groceries,Centra
groceries,SUPERMERCAT MOLES ARINSAL
groceries,Xl Rosses Point
health,Specsavers
health,themobilityshop.ie
pubs,Ginger Man
pubs,The Camden
pubs,Three Storey
pubs,Ute Polvorin
restaurants,Alpsenn Gbr
restaurants,Chimay
restaurants,El Fuego
restaurants,Happy Tosti Den Haag
restaurants,Janbo Snc
restaurants,Jäger & Lustig
restaurants,Koffee & Kale
restaurants,La Potiniere
restaurants,La Tapeta De La Vall
restaurants,La Trace
restaurants,Le Centre Ville
restaurants,McCabes Deli
restaurants,Rischart
restaurants,Shawarma Company
restaurants,Small Talk B.V.
restaurants,Sprezzatura
restaurants,Tekoe
restaurants,Tocionik Stari Mlin
restaurants,Tst Canal Boat Restaur
restaurants,Urban Cook
restaurants,Waterloo House
services,Apple
services,Arnaud Userstam
shopping,Brown Thomas
shopping,Decathlon
shopping,Dingle Artworks
shopping,Dublin Grafton Street
shopping,Luxor Nadalina
shopping,Outdoor Adventure Store
transfers,Revolut
transfers,To EUR
transport,Dublin CSA
transport,Euro Bikes
travel,Booking.com
travel,Dream Chiado Apart
travel,lingus
entertainment,Belgian Heritage
entertainment,Eb So Fetch 2000s Hal
entertainment,Eventmaster
entertainment,Factory
groceries,Coca-Cola
groceries,Horecaspecialist Heinen & Koelewijn
groceries,Morton's
health,Boots
health,Vitamin Shop
restaurants,63320109 Koln Hbf Kamps
restaurants,Georgios Dakoronias
restaurants,Giddy Dolphin
restaurants,Hans En Grietje
restaurants,Höflinger Backwaren
restaurants,La Cuchara de San Telmo
restaurants,McDonagh's
restaurants,Paoli Snc Di Ghedina Paol
restaurants,The Rolling Donut
restaurants,Tram Chowder
restaurants,Yoi Izakaya
services,Alll In
services,Mark Gibbons
services,Unit Catering
services,Vems
shopping,Kilkenny Design Centre
shopping,Rathfarnham Book Shop
shopping,Soren & Son
shopping,The Run Hub
shopping,Tights Dept.
shopping,Tipperary Crystal
shopping,WHSmith
transport,MidLink
transport,Transdev Chamonix
travel,Alsa
travel,Aran Island Ferries
travel,Getyourguide
travel,Viator
entertainment,Benefit Night
entertainment,Skellig
entertainment,discovery+
gifts,Galway Gifts And Souve
gifts,Holland Promotion
groceries,Daybreak
groceries,Dunnes Stores
groceries,Mullins
groceries,Spar
groceries,Twins Olives
pubs,Ryan's of Camden Street
pubs,The Bernard Shaw
pubs,Tucker Reillys
pubs,Wetherspoon
restaurants, Bordelais
restaurants,Canelés Baillardran Grands-Hommes
restaurants,C’est Chau
restaurants,Dehesa Santamaría
restaurants,Easy Dish
restaurants,Hartes of Kildare
restaurants,Josmar Vending
restaurants,La Perla
restaurants,Lobster Roll
restaurants,MPM
restaurants,McDonald's
restaurants,Pad Thai To Go
restaurants,Portugália Balcão
restaurants,Rakovcanka D.o.o.
restaurants,Sweet Churro Avon Ri
restaurants,The Samuel
restaurants,The Towers
restaurants,Tst Brasserie 15
restaurants,Vicos
services,Card Delivery
shopping,Kroonenberg Groep
shopping,Lia Arann
shopping,Marshalls
shopping,Spc Casa Millefiori
shopping,Wwrd Uk/ireland Ltd (o
shopping,Zugspitz Kunstg. Stadl
shopping,Ór Jewellery
transfers,To Wise Europe SA
transport,Dublin Drivers
transport,Dublin Port Tunnel
travel,Residència Marticella
utilities,Energia
utilities,Irish Stamp Duty
entertainment,Cite Du Vin Boutiqu
entertainment,Dublin Marathon
entertainment,Keywestofficial.com
entertainment,Leopardstown
entertainment,Les Houches
entertainment,Schausteller Biebel
groceries,Conad
groceries,Hofer
groceries,Your Daily Fix
health,Medi-Market
income,Reward
pubs,Bleeding Horse
pubs,John Kavanagh The Gravediggers
pubs,Kennedys
pubs,Lemon & Duke
pubs,Wrights Findlater Howth
restaurants,Blu Bianko
restaurants,Break
restaurants,BrewDog
restaurants,Burzza
restaurants,Doughboys
restaurants,Enzo’s
restaurants,Fireaway
restaurants,Proof Urban Italian
restaurants,Scoop Dessert Parlour Sandymount
services,Allianz Global Assistance Europe
services,An Post
services,JustTip
services,Metal plan fee
services,Raddi Enrico
services,Theo Automaten
services,Tv Licence
shopping,Dubray Books
shopping,Flagship Amsterdam
shopping,Office Shoes
shopping,Penneys
shopping,Styl
shopping,Søstrene Grene
shopping,The Gem Howth
shopping,Universal Art Supplies
shopping,Woodworkers
shopping,dm drogerie
transport,Leap Autoload - Nta
transport,NorthLink M1
travel,OVpay
travel,Stasher
travel,Uber
donation,Cap Ireland
donation,GoFundMe
entertainment,Gocardless
entertainment,Kilkenny Castle
entertainment,Merchandising Funicamp
entertainment,Mont Blanc
entertainment,Rock of Cashel
entertainment,Teeling Distillery
gifts,The Loop
groceries,Albert Heijn
groceries,Bazar Alimentacion
groceries,Circle K
groceries,J Hogendoorn Vof
groceries,Lidl
groceries,Londis
groceries,Ls De Parkiet
health,Farmacia Do Rio
health,Farmacia San Giorgio
health,SUA SAN
pubs,Antartida Cervejaria
pubs,Leonard's Corner
pubs,The Hub
restaurants,Aranto Gp
restaurants,Breaking Buns
restaurants,Bunsen
restaurants,Caffè Nero
restaurants,Col Taron
restaurants,Esquires
restaurants,Gullivers NQ
restaurants,HMSHost International
restaurants,La Mascotte
restaurants,La Olla Diputacion
restaurants,Mama?s Boy
restaurants,Oiakeion
